start	end	text
2012920	2017720	as my brothers all say. So I've always been very gracious in defeat and I try and be gracious when
2017720	2023960	I win. And I'd been so used to losing died. I had long given up the premise of comparing myself to
2023960	2030840	other people in fact, never really did it. So it was more about me trying my best. I wasn't so
2030840	2035000	obsessed with how far I got over the line. I just wanted to get to the line. That was the most
2035000	2038680	important thing. And if I could just get, you know, if I, yeah, if you can shoot through the line,
2038680	2044680	fantastic. But for me, even if I crawled over the line, it was that whole idea about trying my best,
2044680	2049160	you know, you got that fantastic speech in any given Sunday about Al Pacino, where he talks about
2049160	2053320	life being this game of rinses, you know, and he has been eat all around us. And for me,
2053320	2058680	it was always about how many inches could I, you know, put get in my favor? How, you know,
2058760	2064520	it was the things that, you know, I knew that I didn't have the same capabilities as a lot of
2064520	2069480	people. So I knew I could make up for that by being honest, you know, and working really hard.
2069480	2074440	And I thought, you know, it means pushing yourself to limits. So there are times where,
2074440	2078520	you know, something that might take a very short amount of time to do because of how my brain
2078520	2083000	works and some of that slow it can be, it take longer. So it means you've got to dig in more,
2083000	2088120	bite down on your gum shield a little bit more. And, you know, there's a lot of attributes I
2088120	2093800	didn't have. But the one thing I knew is I knew I was tough. And, and that goes a long way when
2093800	2101960	you're, when you have the the plaits of attributes that I had, then being tough helps a lot. At least
2101960	2106680	mentally being really mentally tough. So there wasn't anything that I, I could enjoy just about
2106680	2111960	everything. Because I knew that the outcome would always be that I would find a way. And there was
2111960	2117080	a there was a massive reassurance I'd taken took from that, that was really instilled in me.
2117880	2120680	By my mum, but more lately, Sandra.
2121480	2127000	So then you've got you've got your degree. So I'm guessing you maybe 20. Are you 21 years old?
2127000	2131800	At this point, 23 by this point, so I went to uni at 20 years at 23 by this point.
2132360	2137000	And so you come out with your degree. And what do you want to do with your life at that point?
2137880	2143880	That's really interesting. I mean, by that point, I'd already I mean, I had a really life changing
2143880	2147320	experience when I was 18, which was probably the most important thing that happened to me.
2147960	2155000	So when I was 18, my mum took me my brothers to a homeless shelter for Christmas. And I had upon
2155000	2158680	going to his homeless shelter, you know, my brother stayed for a couple of hours and I stayed,
2158680	2164840	I think the entire day. And I met this guy who sadly had lost his family in a road accident and
2164840	2171720	became destitute and was sectioned and ended up homeless. And he was a professor. And he said to
2171720	2177400	me to look at me, you wouldn't think I was anything important. And I hadn't made any judgments on him.
2177400	2181160	You know, but he said to me, you wouldn't think I was anything important. But you know, I used to
2181160	2186120	be a professor and I lost my family road accident. And you know, I had a breakdown. I started taking
2186120	2190200	drugs to deal with it. I didn't go to work. He explained all of these things to me. And
2190920	2195480	you know, he ended it by saying, you know, to look at a person, you just never know. So never make a
2195480	2200440	presumption that, you know, all homeless people are drop kicks. You just take drugs. There's always
2200440	2206120	a story behind this. Now, I hadn't presumed anything, but I think he really wanted to
2206120	2210440	illustrate and hammer home that point that, you know, not everything is how it seems.
2211000	2215640	And so at that point, I wanted, I became fixated with this idea of I wanted to dedicate my life to
2215640	2222280	helping people. So I wanted to raise a million pounds for charity before I turned 40. So that
2222280	2228200	became my big obsession. So when I got to 23, you know, by that point, I had a one and a half year
2228200	2235400	old daughter and I just became really fixated with this idea of doing work of charity. So I did my
2235400	2241000	EGC at that time, which is my teacher training qualification, went on to teach physical education
2241640	2247800	GCSE and A level at school and then a college. And then I did my first masters,
2248680	2257160	20, I was 24, 25 at the time. And did my second masters at 26. But then that coincided with the
2257160	2262200	kind of first big marathon event I've done. So for charity event I've done, so I've done several
2262200	2266920	little charity events, but I did this particular one, which is where I think a lot of the momentum
2266920	2275160	and notoriety came for doing charity work. So I ran 30 marathons in 35 days. So that was unbelievable,
2275160	2281960	man. Yeah, thanks for your kind of you. So that was in 11, it will be 11 years ago in July. I was
2282200	2287720	20, because I was 26 at the time, or 25 at the time. Yeah, that was an amazing experience,
2287720	2292120	because obviously, the caveat to that was that we had to do each one in under five hours.
2293080	2297320	And that's tough. So I mean, yeah, to do it. Yeah.
2298520	2302920	Did you say you ran 30 marathons in 35 days?
2302920	2303400	Yeah.
2303400	2304760	That's insane.
2304760	2309480	So and obviously, I mean, and I think maybe there was a weak difference between
2309480	2313800	Eddie's are doing it and myself doing it. But you can walk a marathon in about eight,
2314360	2316840	eight and a half, seven or half, eight hours.
2316840	2320040	Yeah, but I need to have a week off after that.
2320040	2323800	Yeah, so it was really funny, because I remember, you know, when we were kind of deciding what we
2323800	2327640	were going to do, you know, it's like, yeah, Betty's, I was just on this. And my friend was like,
2327640	2332200	yeah, but he's walked the marathons. Like, if you're gonna do this, Jason, you need to do something
2332200	2336520	that's distinctly different. So how about like, you're doing under four and a half or five hours
2336520	2340520	every day. And you know, we were working with a lot of my friends with physios at the time,
2340520	2344280	they're like that, like a lot of toll on the body. But to make it uniquely different,
2344280	2349240	we had to do something that separated it from that. Yeah. So yeah, we're fortunate enough to
2349240	2353400	do that. And then that kind of, you know, done that, we raised a lot of money from that,
2353400	2357720	which was fantastic. So it was for shooting stars chase at the time in shelter, because at home,
2357720	2359960	this was a huge, interesting for me.
2360520	2367720	Quick question. When you were hitting points, you know, they talk about hitting the wall,
2367720	2372760	or whatever. So you're running a marathon, I can't keep running it. But I presume that happened. And
2372760	2378040	then you would presumably push through it, I'm going to keep on keeping on. Where do you find
2378040	2388760	the depths of strength to keep yourself going? When either you start to think, No, I can't do
2388760	2394280	this. Now, that's either in the physical sense of like your marathon running, or in some of your
2394280	2399800	academic journey, where do you find the how do you manage to dig deep enough to keep on keeping on?
2400440	2406760	I don't know. I think, I mean, I love Rocky. So like, I just think it's a great metaphor for life.
2406760	2412440	And in Rocky for he says to his son, when you go one more round, when you think you can't,
2412440	2416920	sometimes that can make all the difference in your life. Now, I don't want to kind of trivialize it
2416920	2422440	to that. But I do think there's something to be said for pushing through something when you think
2422440	2430680	you can't do it. And for me, you know, I had a really perverse love of adversity and being in
2430680	2435240	difficult situations and really seeing how I responded to that. So well, this is interesting.
2435240	2440840	So you actually kind of got a buzz off putting yourself in those, those points where you knew you
2440840	2444760	were going to be challenged. Yeah, it massively aroused me like because I didn't really learn
2444760	2448600	anything about myself and things were going well, you know, the one thing I always was obsessive
2448600	2453720	about was this idea of temperament and what I was like when things didn't go my way, and how you
2453720	2457320	respond and how you react to that. And that's what I mean about being tough. I, you know, it was this
2457320	2462120	idea that I never saw it as a disadvantage to experience adversity. I always saw it as a
2462120	2467800	privilege because it all for me, it would always be the other end of you know, the other end of it
2467800	2470840	is you're not in that situation and you don't experience a tough situation. Sometimes,
2471320	2475800	adversity is a privilege. You know, you're in a situation where, you know, you've got a lot of
2475800	2481240	people relying on you, you know, you could raise astronomical amounts of money for charity. And
2481240	2486440	that money is going to change people's lives in quite a big way. Like it's a privilege to have
2486440	2492920	that responsibility. And so at that point, no matter how painful it was, I knew that that money
2492920	2498520	could, you know, potentially do a lot of damage in a good way, five to 10 years, whereas I knew
2498520	2503240	the damage, whereas I knew how I was feeling right now. Yes, it was painful when I was in
2503240	2511320	absolute agony. It was temporary, it wouldn't last. Whereas this particular feat, in terms of helping
2511320	2516760	people, not in terms of inverting the mirror on myself, or as an exercise in narcissism,
2517480	2522280	I just knew it would, it can make a big difference to people's lives. And so for me, it was more,
2522280	2526760	and the thing is, when you're running with yourself, that there is no hiding place in that situation,
2526760	2531480	you know, you can't, you know, yeah, there are times where you've got your oyster card in your sock,
2531480	2536840	and you're like, Joe, I just I can't do this. But you know, you recognize that at that point,
2536840	2539880	it started off really small, you know, the amount of people who had interest in it. And
2539880	2544280	before we knew it, it kind of grew to this national thing where a lot of people were interested in
2544280	2549720	the story, I was doing it, and more and more people are running with me and, you know, a PR
2549720	2555560	team got involved, and then it just went kind of crazy. And then I remember kind of, I was running
2555640	2562280	one day and I saw a paper, it was the Metro, and then it might have been the Telegraph,
2562280	2566520	the Telegraph and the Metro. And I saw someone had done an article on it. I was like, how did
2566520	2570360	they know about this? And no one had asked me anything. It was the PR company that got a hold
2570360	2575080	of it and got it to distribute. And I'd seen two papers within maybe about a mile and a half for
2575080	2580200	another, covering the story. And so I was running past people in like central London,
2580200	2609760	past the statue of Eros, which is where we finished in Bick
2609760	2618640	Hill. So that was a year after. And then there was Edinburgh to London in six days. So 600 miles,
2618640	2624640	700 miles, something in six days. And yeah, we reached the target when I was 30. And I guess
2624640	2629360	you reached a million pounds. Yeah, when I was 30. And
2630800	2635280	hold on a second, 10 years ahead of schedule. 10 years ahead of schedule. Yeah. So that was like
2635280	2640960	a really big thing because we raised a huge amount for the Edinburgh to London. And at the
2640960	2646880	moment, we're on 4.5. So it's been like an amazing journey. And I guess there's only,
2646880	2652080	my friends often joke like Jason doing a charity event is like paying rent, honestly, every other
2652080	2657680	month. So there's a lot of things that they've done to help that. And I got the opportunity to me,
2657680	2665840	Andy Murray in 2012. Yeah. And he, you know, he, you know, supported a lot of the charity events
2665840	2671760	that we did as well, in terms of kind of using social media platforms, and then you got some
2671760	2676720	coverage around it. So more businesses got involved in stuff. And, and yeah, and it kind of all
2676720	2682320	culminated with running with the Olympic torch in 2012. So that was like, that was like the most
2682400	2687440	surreal moment. Wow. Purely because like, yeah, how often do you have like,
2688080	2693360	a flame on the end of your hand that's like over 1000 years old. So that was never in my case,
2693360	2698720	Jason. And I don't think it's gonna happen. But, but you never know. But I think unlikely.
2700000	2704640	No, so that was yeah, that was so that was the kind of headline, I guess. And then kind of all,
2705680	2708560	I guess it all went through, I ended up doing a PhD.
2709040	2712400	Well, well, I'll tell you what, before we talk about the next stage, I just want to
2712400	2720320	scroll back a little bit. So we didn't really talk about your sort of surroundings too much
2720320	2729680	growing up. But correct me if I'm wrong that you might have been pulled into some criminal behavior
2729680	2734480	or whatever, perhaps, am I right with some of the people that might have been in and around you as
2734560	2738720	you were growing up, I read something about a conversation that you had with somebody who was
2739280	2744960	like a gang leader or something on those lines. Yeah, I mean, I was really fortunate. I had two
2744960	2749600	amazing parents who really kept me and my brothers away from all of that. But I grew up on a really
2749600	2756400	tough, self-unden cancerous fate. And there was a lot of gang related, drug related activity. And
2756400	2761440	it's, it's all important to say that, you know, a lot of these people, you know, were unbelievably
2761440	2767520	gifted, unbelievably gifted. And it just goes to show when you don't have, when there is an
2767520	2774240	absence of people to nurture your talent in the way that Sondro did with me, that can that can be
2774240	2782160	hugely impactful. Yeah. And so I remember I was 15, I might just before I turned 15 at a time, and
2782720	2787840	I was going down to my local snook club. And the there was a there was a drug dealer who was kind
2787840	2793840	of like, I don't want to use the word kingpin, but they were quite, you know, quite as far as
2793840	2799040	that kind of environment goes, let's just say they were very senior authority. And he actually
2799040	2803840	he turned around to me and he had this kind of convertible Mercedes, beautiful car, beautiful
2803840	2808240	car. And I remember, you know, he stopped me and I was kind of like, if anyone sees me, I'm going
2808240	2811440	to be in serious trouble because they say it takes a village to raise a child and I know
2812000	2816400	they're going to be telling my mum, my mum's like, why are you talking to that guy? And he turns
2816400	2820720	around and says, like, listen, you see this kind of fancy car I've got, you've seen this lifestyle
2820720	2825360	I have, you can do better than this, make sure you keep your head in your books and make sure you
2825360	2830160	keep your cue in your hand, which is exactly what he said. And literally, like maybe one or two
2830160	2836800	months later, he was dead, he was murdered. So that was quite a surreal experience, because,
2836800	2840720	you know, it wasn't a wake up call for me, because I think I had a, I had quite a good head on my
2840720	2846320	shoulders anyway, partly because mainly because of my mum. But it just reemphasized to me that
2847120	2851600	at that particular moment, if that individual could have made any, you know, if they could have
2851600	2857600	made different choices, I think they would have done. And obviously, the choices that they made
2858480	2863760	were a contributing factor in them losing their life, which is sad in itself, because it also
2863760	2869200	speaks to a society and a structure that sometimes doesn't give people any choice, it doesn't give
2869200	2874400	people the opportunity to become socially mobile. And, you know, particularly for a lot of black
2874400	2878960	and ethnic minority people, that kind of disadvantage is something they experience on
2879920	2884640	a continual everyday basis. And yes, there are white working class people who also experienced
2884640	2889120	that as well. But I think coming out of that situation is very, very difficult when there
2889120	2894240	are mechanisms in society to make, you know, particular groups of people from socially
2894240	2897600	deprived backgrounds, socially mobile, if that makes sense.
2898560	2910080	How, as a society, can we connect more Sandro type characters with people who've got
2910080	2920080	promise and talent, but don't have the experience of the belief that Sandro had in you and
2921040	2925440	they don't have the experience of somebody saying, you can do something really good,
2925440	2930880	you can be really successful? How can we replicate your story more in society, if at all?
2931440	2936720	I think it's difficult. I mean, you can't replace a Sandro, Andre Sandry. He is a one-off,
2936720	2941120	he is a one-off. But what I would say is it starts with the messages teachers, you know,
2941120	2945440	you spend more time at school than you do with your family. So you spend five years in school,
2945440	2950800	you spend eight hours a day in school, eight to 10 hours a day in school. And some of the messages
2950800	2957440	that teachers, you know, perpetually tell young people, I don't think they realize the impact that
2957440	2962000	can have on people. That's the only thing that becomes a dominant message because it's the person
2962000	2966800	you probably interact with the most. You know, most people go home in terms of young children,
2967440	2970880	may not see their parents because they're out at work when they do see their parents maybe for two
2970880	2976640	or three hours tops and then they're in bed, you know, spending eight to 10 hours with a teacher.
2976640	2983920	I think it's about the messages we tell young people and not imposing a deficit way of thinking
2983920	2988160	on these young people, you know, if they come from a socially deprived background,
2988720	2992800	that doesn't mean that's what their destiny will be. I think it's about teachers actually.
2992800	2997120	And, you know, having been a teacher, you know, there are some fantastic teachers who are so
2997120	3005840	aspirational and really encourage that aspirational drive and acumen in young people. But equally,
3005840	3010000	there are some teachers who say things that are just the most important things to say to a young
3010000	3014400	person, you know, you'll end up working in McDonald's. You know, first things first, like,
3014400	3019280	what would be wrong with working at McDonald's? You know, there's nothing, there's nothing wrong
3019280	3024720	with that. You'll end up, you know, collecting the bins for a living. It's the kind of language
3024720	3030320	teachers use. It's kind of language teachers use which can be like stifling, you know, demeaning.
3031120	3035120	And that is a narrative that kids can hold on to. So I think it's really important that, like,
3035920	3040640	when you're looking at someone, you may see how they are now, but you don't know where they'll
3040640	3047040	end up. And I think it's always important to treat people with dignity and respect and to really
3047040	3051680	encourage, you know, the ability for them to be able to change the fate of their stars, you know.
3052560	3057280	And I really do believe in that there's an expression that every person's a master of
3057280	3063360	their own faith. So I do think that. But that is only to the extent that it is encouraged by,
3064080	3074240	you know, supportive, nurturing people. So, okay, so you're 30, you've raised,
3074240	3078480	you hit your target, you've raised a million pounds for charity. And then is it back into
3078480	3085920	more academia then at that point? Yeah, at that point. So, I mean, when I was 30, I had my PhD
3085920	3092960	examination. So it was kind of a rock and roll, like, for want of a better term, 20s. So
3093840	3102640	Arnie was diagnosed with a brain tumor in January 2015. January 2015. And at the time,
3103280	3109440	Debbie, my ex-partner, she was pregnant, you know, it was a difficult situation. It was a job I had at
3109440	3114320	the time, I needed to keep my job by getting my PhD. And that was like a really, really kind of
3114320	3119440	telling thing. And I mean, that wasn't the pressure, depression income from that. I mean,
3119440	3124880	it was just really unfortunate, to be honest. But kind of long story short, I had my, I had a benign
3124880	3129520	brain tumor, my pituitary gland, and I had it removed three weeks before my PhD examination.
3130880	3137520	So this was August 2015. And I had this removed, yeah, three weeks before. So my examination was
3137520	3143920	on the 29th of August, 29th of September 2015. And I can remember a thing in this exam. And there
3144000	3149840	was a lot riding on this, you know, I'd already done my PhD in pretty quick time, it was two and
3149840	3154480	a half years. So the average amount of time it takes to do a PhD is like four to five years
3154480	3160400	part time. And I had done it basically two and a half years. I did it full time, I did it, it was,
3160400	3168160	I did it in, I was part time, but I didn't full time. Because, you know, I was paying for it myself.
3168160	3170800	So it was just costing a lot of money. So we need to get done as quick as possible.
3171520	3176320	And in this exam, I mean, to be quite honest, I'm failing miserably, Nick. I mean, failing
3176320	3181360	miserably, there's a point in this exam, we're 18 minutes, we're 60 minutes in. And you know,
3181360	3187360	Sandro sat outside, and I'm thinking if he was here seeing this kind of, to be honest, shitshow,
3188640	3194800	he would probably be thinking, you know, I don't mind you failing because, you know, you tried your
3194800	3198640	best and you couldn't do it. And you just couldn't, you know, you couldn't get there. But out of fear,
3198640	3203920	and I just I was paralyzed by fear. And I don't know what happened. It was like, I don't know,
3203920	3208960	almost like this out of body experience. And I don't know what happened, but the fear left,
3208960	3213680	and once the fear left, and I accepted that I could fail. And there was nothing wrong with that,
3213680	3219280	I tried my best. Again, it comes back to this whole idea of like, you know, enjoying adversity,
3219280	3224080	something kicked in. And I enjoyed the experience, I enjoyed the experience of being having my back
3224080	3229680	up against the wall and thinking like, how can I use my temperament? You know, how can I find a
3229680	3235840	way to navigate or get out of this kind of thorny terrain? How can I get out of this situation? And
3236960	3242720	that's where you rely on your temperament, and that toughness to find a way out of it. And luckily,
3242720	3247680	it's something that hadn't really let me down for that point, the best part of 12 years. And it was
3247680	3252480	something that I could draw on again, because I loved the idea of being in the thick of it, you know,
3253440	3259280	like being in a battle. And that's the thing, like, when you're in it, you know, what you need is
3259280	3264720	clarity and stillness of thought, you have to actually be quite cerebral. And, you know,
3264720	3270240	I was able to thank God, I don't know if I, you know, I'll never know how far I got over the line,
3270240	3274560	personally speaking, I think I just crept over the line, but it doesn't matter, I did just enough
3274560	3280560	to get over the line. And that's, and that is actually all that matters. So you got your PhD?
3280640	3287120	I did. Yeah, congratulations. That's at a certain point in that exam, you thought, no way,
3287120	3295920	not going to happen. No, I was, I was, you know, all I was thinking about is if I failed consequences
3295920	3300880	of failure, you know, I would hope and have no job. But I was second child, but I, you know,
3300880	3306320	Deb's was on maternity leave at the time, there was all these variables that I never thought about.
3307280	3312880	And rather than just thinking, embrace, let's embrace this, like, let's, you know, let's,
3312880	3318640	let's, let's, let's, let's embrace this whole experience, you know, it's difficult, but that's
3318640	3322960	what you love, Jason, that's, you know, that's kind of what, you know, that's, that's where you're at
3322960	3328000	your best when you're, when you're in a situation where, you know, I need that, that friction, that
3328000	3333440	friction of like, you know, it's impossible. That's what makes this adaptive. The impossible for me
3333520	3340480	is always deductive. Here's another question, then can we encourage people or educate people or
3340480	3348960	train people to better embrace those moments of adversity so that they can go, yeah, this is shit.
3348960	3355280	Yes, I'm really struggling, but I'm gonna embrace it and make the best out of it. Because that's
3355280	3361120	clearly you have a talent for doing that. How can, how can people listen into this podcast
3361760	3369360	kind of set them put their mind in a place where when things are really bad, they
3370160	3376720	lean in and get the best out of it rather than just run away and collapse and heat.
3376720	3380240	Yeah, I hear what you're saying. I mean, I think it comes down to perspective. I mean,
3380800	3389600	I wouldn't want to minimize anyone's experiences with adversity or difficulty. But for me personally,
3390240	3400560	I often have this conversation with my brother and my daughter. And I don't know if it's something
3400560	3407600	you can teach someone. I think I do genuinely think sometimes you're just born with that.
3407600	3414320	And it's a skill that you can exacerbate and it becomes more compounded by the experiences you have.
3415040	3419280	You know, because I think people deal with adversity in different ways. And I wouldn't want
3419280	3423520	to suggest that there's one way of dealing with it because it'd be in some ways, it'd be me kind of
3423520	3428320	gaslighting and neutralizing how people deal with adversity. You know, when I use the word tough,
3428320	3434400	by the way, I don't mean in this toxic masculine way. I mean, tough as in I was always really good
3434400	3438720	at digging in. I could dig in, you know, it was it was always about how much I could endure.
3440880	3446000	And I knew I could endure a lot. Yeah, I think you're right. I think it might not be possible
3446000	3452320	to teach people it. But maybe if they hear a story like this, you won't teach them. But it
3452320	3459520	might make people more aware of what might be possible. Yeah, I think a better spin to always
3459520	3464000	put on on these things is that it's an opportunity to learn and to learn about yourself and how you
3464000	3468880	respond to certain situations. And I think people don't look at it as an opportunity to learn a lot
3468880	3473120	of time. And by the way, rightly so. I totally understand that. I think sometimes I like why
3473200	3481600	this happened to me. You know, I heard a story I think yesterday of a gentleman who was diagnosed
3481600	3488000	with a rare form of bone cancer at the age of 23. And now he's doing he's kind of cycling like
3488000	3494800	1000 miles a day or something to raise 50,000 pounds for charity. And he's been told he's been
3494800	3501040	given a terminal diagnosis. Now he's not 30 yet. He's been given a terminal diagnosis. Now he,
3502000	3507200	you know, I would love to know how did he accept that? You know, how has he managed to take what
3507200	3512400	is that's that's worse than adversity, he's going to be facing, he's been told that he's going to
3512400	3517680	be facing impending death. And he's taken that with as much grace as one could. In fact, he's
3517680	3525040	decided that he's going to use the remaining time he may have left to help, you know, develop
3525840	3531600	research, or fund research in that area for people who have particular types of bone cancer.
3532240	3537760	I just think that that's brilliant. You know, it's that idea of it's how people respond to it,
3537760	3542800	you know, and there's not a hard and fast way to do it. But I think it's kind of looking at it as
3542800	3547760	an opportunity to learn about like, learn about yourself. And for me, I've always taken these
3547760	3555760	things as an opportunity to learn about myself. And the greater the adversity, the more I learned
3555760	3561200	about myself. And I appreciated it because it was a great lesson. It was always a great lesson for
3561200	3571200	me. Tell me about when you got your current gig. Was that smooth sailing? I wouldn't say it was
3571200	3579760	smooth sailing because I mean, I do you suffer a lot of disappointments. But I think it was that
3579760	3583520	whole idea of when things don't go your way, as my mom always said, take a good grace. And when
3583520	3587840	things do go, I'm always a good grace. So as I mentioned earlier, I was good at losing. So I knew
3587840	3593040	how to lose and lose really graciously. And before I actually got that big opportunity at Durham,
3593040	3602000	when I was 33, I had my brain, I had a second brain tumor, which at 32, which I kind of thought,
3602000	3609040	Oh, man, like, so they just need to get this clear. When you mentioned before about getting diagnosed
3609040	3615280	with a brain tumor, then what a period when you got the all clear on one, then you had a period and
3615280	3621040	then you then you got hold on, you might have another one. Is that right? Yeah, two years apart.
3621200	3626400	So that was that second one was tough. Because I thought, wow, I remember the doctor actually
3626400	3630880	saying to me the neurologist just saying, it was just said, you know, sometimes you get dealt a very
3630880	3637440	bad hand and you don't deserve that Jason, but you know, we'll do everything we can. And at that
3637440	3641360	point, I think I'd heard that. I think there was a period of five minutes where I went into the
3641360	3647760	toilet. You know, I cried because I was really disappointed for obvious reasons. And after that
3647760	3652400	five minutes, I'd accepted it. I'd accepted that this was how it was supposed to be. And we'll find
3652400	3657520	a way out of it. And I, you know, I didn't I didn't actually tell anyone, the only person who knew was
3658320	3664480	my GP. And I've never found a way out of it. And obviously, you know, you're applying for jobs,
3664480	3668240	you know, because I really wanted to know I thought the thing that would cut this story off is,
3668240	3673840	you know, you know, in my head, you know, 12 years after learning to read and write, you get a PhD.
3673840	3678880	And I didn't go to an elite institutional Russell Group institution, which is like kind of 26 of the
3678880	3683680	most elite universities, research intensive universities in the UK. But how cool would it be
3683680	3688880	to find up at one, you know, the PE teacher that ended up being a sociologist? And so because it's
3688880	3693120	the idea of the impossible. That's what's, you know, the impossible is what's, as I said, it's
3693120	3698160	seductive to me. So you apply for these jobs. And, you know, obviously, the higher the stakes, the
3698240	3705120	bigger the rate of rejection. Yeah. Which is tough to take. But it's all a learning experience. And
3705120	3708880	each time I was getting closer and closer and closer. And I remember thinking, like, my
3708880	3716320	opportunity will come. And when I got this gig at Durham, so this would have been April 2019.
3718640	3724640	I just I just I just knew on that day, like, like, there's a really cool,
3725600	3729600	my mom's favorite band is Queen. So as you can imagine, as a kid, I listened to Queen a hell of a
3729600	3735440	lot. And in the song, it's a kind of magic. And there's a line like no mortal man can win this
3735440	3741040	day. And I just knew that, you know, on that particular day, I wasn't more. I knew that I was
3741040	3745760	going to be I was going to do something special. And I knew that for whatever reason, the powers I
3745760	3750320	had on that day were going to get me over the line. You know, I just felt it. And I remember
3750320	3755440	thinking I remember saying out loud to myself, if someone gets this job over me today, they will
3755440	3760160	thoroughly deserve it because I genuinely couldn't have done any any better or any more. Yeah. Yeah.
3760160	3766400	And then I mean, it was the the interview went over the third and the fourth of April. So I
3766400	3770480	remember having this research presentation on the third, then the actual interview on the fourth. And
3772240	3775680	yeah, I remember being on train back home thinking I couldn't from Durham think I couldn't have done
3775680	3781600	any better. And then the day after I was on my way back from Coventry, got a phone call and got
3781600	3788160	told that, you know, I'd got the gig and it was the biggest sense of relief. There wasn't I wasn't
3788160	3793520	elated. It was a sense of relief. I'd all the potential and all the effort that Sandra had said
3793520	3800240	I'd had. It felt like in that one moment, I'd finally realized it, you know, and there were
3800240	3806640	lots of things I'd done, but that particular thing was so, so impossible. So like, no, none
3806640	3812720	of us could have predicted it. But like, you know, it was so unlikely that the sense of relief was
3812720	3817440	like, it was huge. I'd realized the potential that, you know, Sandra said I'd had all these years. And
3817440	3821280	also a lot of people that time you were beginning to say to me, you know, Jason, you're being
3821280	3826000	adopted as the next big thing in terms of race and higher education and race and education, you know,
3826000	3829200	you need to learn one of these gigs needs to do this, you need to do this. And it's kind of like,
3829200	3834160	listen, it's not something I'm not trying. Yeah, I'm doing my absolute best here. You know, I can't
3834160	3838400	I'm going up against people that are, you know, in some cases better than me. In some cases,
3838400	3844880	your face doesn't fit, you know, in terms of being a black person. But I was always confident
3844880	3849840	that my opportunity would come. And, you know, I just thought on that particular occasion,
3850720	3857680	I remember thinking like, right, rebel double top me, I think I think the checkout is there. And
3857680	3862400	on that particular day, it was and it was just amazing. It was an amazing feeling to realize
3862960	3868160	that potential in some ways, to kind of know that, you know, financially, I knew that I'd
3868160	3872480	been a position where I could look after my parents, I could look after my friends, I just
3872480	3877440	knew there were certain things by having that job that I wasn't going to have to worry about anymore.
3877440	3884800	And and so it turned out. Well, it's a it's an incredible story, something we've not touched on
3885360	3892720	yet is your faith. What role does does your faith have in your journey?
3893520	3897600	Yeah, I was gonna say, I mean, it's really funny, Nick. I mean, I've got a tempestuous relationship
3897600	3903520	with God, to say the least. So, you know, and I remember being told the story of Moses when I was
3903520	3908000	a child. And to this day, I still don't understand how to make it to promised land. He was he was he
3908000	3915360	was challenged beyond beyond anything. And, you know, I still don't you know, any question God
3915360	3919760	wants wasn't allowed into the promised land. And I always thought the injustice of that was ridiculous.
3919760	3924080	And so a lot of time you kind of think, you know, my mom always says that God only gives you what you
3924080	3928880	can manage and we can handle. But I think my relationship with my faith is quite a simple one.
3929440	3933520	And the reason why I say that is because there are lots of crazy things that happen,
3934240	3938960	one of which, you know, I wouldn't say I miss particular podcasts, but there are some really
3938960	3945200	crazy things. And, you know, there's a footprints kind of prayer that my mom always kind of used to
3945200	3951680	read to me, my brothers, and, and still says to me as an adult now, and is this idea that, you know,
3954960	3959440	if you are walking alone, the things that you have experienced, you wouldn't have been able to get
3959440	3965120	through if I wasn't here with you. And for all of the things that have happened in my in my life,
3965120	3972560	personally, it was so unlikely that there is no way I could have done it on my own. And then for
3972560	3978160	that reason, if there are a million reasons I could I could I could use and a million testimonies I
3978160	3983440	could use, but for that one reason alone, I do believe there's someone watching over me. And that
3983440	3989040	is been omnipresent and presided and everything that I've done. And I do believe that to be to
3989040	3994000	be God and I think people can extract faith in many different ways, you know, and there isn't
3994000	4001280	one way to observe or to engage with faith. But for me, you know, my belief in God really
4001280	4007040	stems from the fact that there are many things that have happened to me. And I don't think I
4007040	4011360	would be here if it wasn't for the fact that there's someone looking over me, you know, I
4011360	4017120	think that's I think there's too much evidence for me to suggest otherwise either that or I've been
4017120	4021040	ridiculously lucky, which I think I've been probably quite lucky. But I also think there's
4021040	4025840	been someone looking over me who has, you know, a greater plan for me, and I wouldn't want to
4025840	4031120	ram faith down anyone. But I think we all have things that we believe in, you know, I was watching
4031120	4036080	a documentary on Diego Maradona the other day, and in Argentina is a church of Diego Maradona.
4037040	4042720	And I found it amazing, you know, they believe Maradona to be their God. And, you know, and I
4042800	4049280	was like, that's great. That's brilliant. And I think it comes back to the same thing. I think
4049280	4054880	faith can be embodied in many different forms. I don't think there's any right or wrong way to
4054880	4062320	observe faith. And I think sometimes we can get drawn into this, these kind of arguments about how
4062320	4069120	people should observe faith and whatever. But I think it's been able to draw on faith, you know,
4069120	4075200	as and when they need. Yeah. And for people who draw on it consistently, I think there's no
4075200	4080160	wrong or right way. And I think it's important that we all learn to recognise that because
4080160	4084000	sometimes I think we can be quite judgmental in terms of how people engage with their faith and
4084560	4089360	what people deem to be something that they place their faith in. And I think that judgment isn't
4089360	4095440	necessary. I don't think it's necessary. Were you taught to be religious by your parents? Did they
4095440	4103040	say this is the way it is? God is up there. You're down here. Yeah. Was it something that you were
4103040	4110560	taught from an early age and you didn't question? I would say my parents are deeply religious. I
